SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1806,-1,2
train1807,1,1
train1808,0,3
train1809,0,3
train1810,0,4
train1811,0,3
train1812,1,1
train1813,0,3
train1814,-1,2
train1815,1,1
train1816,0,4
train1817,0,4
train1818,0,4
train1819,-1,2
train1820,0,4
train1821,-1,2
train1822,0,3
train1823,-1,2
train1824,-1,2
train1825,1,1
train1826,0,4
train1827,1,1
train1828,-1,2
train1829,1,1
train1830,-1,2
train1831,-1,2
train1832,0,3
train1833,0,4
train1834,1,1
train1835,-1,2
train1836,0,3
train1837,0,3
train1838,0,4
train1839,1,1
train1840,0,4
train1841,0,3
train1842,1,1
train1843,0,4
train1844,1,1
train1845,1,1
train1846,-1,2
train1847,0,3
train1848,0,3
train1849,0,4
train1850,0,4
train1851,0,3
train1852,0,4
train1853,-1,2
train1854,-1,2
train1855,0,4
train1856,1,1
train1857,0,3
train1858,0,4
train1859,-1,2
train1860,1,1
train1861,-1,2
train1862,1,1
train1863,0,3
train1864,1,1
train1865,0,4
train1866,-1,2
train1867,0,4
train1868,0,3
train1869,1,1
train1870,1,1
train1871,0,4
train1872,1,1
train1873,1,1
train1874,0,3
train1875,0,3
train1876,0,3
train1877,1,1
train1878,1,1
train1879,1,1
train1880,0,4
train1881,-1,2
train1882,0,3
train1883,0,4
train1884,0,4
train1885,0,4
train1886,0,4
train1887,0,4
train1888,0,3
train1889,0,3
train1890,0,4
train1891,-1,2
train1892,0,4
train1893,0,4
train1894,-1,2
train1895,-1,2
train1896,-1,2
train1897,0,3
train1898,0,4
train1899,-1,2
train1900,0,3
train1901,1,1
train1902,0,4
train1903,0,3
train1904,0,3
train1905,1,1
train1906,0,3
train1907,-1,2
train1908,-1,2
train1909,0,3
train1910,1,1
train1911,1,1
train1912,0,3
train1913,0,3
train1914,-1,2
train1915,1,1
train1916,-1,2
train1917,-1,2
train1918,0,4
train1919,-1,2
train1920,0,3
train1921,0,3
train1922,0,3
train1923,0,4
train1924,0,3
train1925,0,4
train1926,1,1
train1927,0,4
train1928,1,1
train1929,0,4
train1930,1,1
train1931,0,3
train1932,0,3
train1933,-1,2
train1934,-1,2
train1935,-1,2
train1936,-1,2
train1937,0,3
train1938,1,1
train1939,0,4
train1940,0,4
train1941,0,4
train1942,1,1
train1943,0,3
train1944,0,3
train1945,-1,2
train1946,-1,2
train1947,0,3
train1948,-1,2
train1949,-1,2
train1950,-1,2
train1951,-1,2
train1952,0,3
train1953,1,1
train1954,0,4
train1955,1,1
train1956,-1,2
train1957,1,1
train1958,-1,2
train1959,1,1
train1960,1,1
train1961,0,3
train1962,1,1
train1963,-1,2
train1964,0,4
train1965,0,3
train1966,0,3
train1967,1,1
train1968,0,4
train1969,1,1
train1970,1,1
train1971,0,3
train1972,0,3
train1973,1,1
train1974,-1,2
train1975,0,4
train1976,0,3
train1977,1,1
train1978,0,4
train1979,-1,2
train1980,-1,2
train1981,0,3
train1982,0,3
train1983,1,1
train1984,-1,2
train1985,-1,2
train1986,0,3
train1987,1,1
train1988,-1,2
train1989,0,4
train1990,1,1
train1991,1,1
train1992,-1,2
train1993,0,4
train1994,0,3
train1995,-1,2
train1996,0,3
train1997,1,1
train1998,1,1
train1999,1,1
train2000,0,4
train2001,0,3
train2002,0,4
train2003,0,3
train2004,0,3
train2005,-1,2
train2006,0,3
train2007,0,3
train2008,0,4
train2009,0,3
train2010,1,1
train2011,1,1
train2012,-1,2
train2013,-1,2
train2014,1,1
train2015,-1,2
train2016,0,3
train2017,0,3
train2018,-1,2
train2019,1,1
train2020,1,1
train2021,0,3
train2022,0,4
train2023,-1,2
train2024,-1,2
train2025,1,1
train2026,-1,2
train2027,0,4
train2028,0,4
train2029,-1,2
train2030,0,4
train2031,0,4
train2032,0,3
train2033,0,3
train2034,0,3
train2035,-1,2
train2036,0,3
train2037,-1,2
train2038,0,3
train2039,0,3
train2040,0,3
train2041,0,3
train2042,1,1
train2043,-1,2
train2044,-1,2
train2045,0,3
train2046,1,1
train2047,-1,2
train2048,1,1
train2049,1,1
train2050,1,1
train2051,1,1
train2052,0,4
train2053,0,3
train2054,-1,2
train2055,0,3
train2056,0,3
train2057,-1,2
train2058,0,4
train2059,1,1
train2060,0,3
train2061,-1,2
train2062,1,1
train2063,1,1
train2064,0,4
train2065,1,1
train2066,0,3
train2067,0,4
train2068,0,4
train2069,1,1
train2070,1,1
train2071,0,4
train2072,1,1
train2073,0,4
train2074,1,1
train2075,0,4
train2076,0,3
train2077,0,3
train2078,0,3
train2079,0,3
train2080,0,4
train2081,0,4
train2082,1,1
train2083,1,1
train2084,-1,2
train2085,0,4
train2086,1,1
train2087,0,4
train2088,0,4
train2089,0,3
train2090,-1,2
train2091,0,4
train2092,1,1
train2093,-1,2
train2094,1,1
train2095,0,4
train2096,0,4
train2097,0,4
train2098,0,4
train2099,0,3
train2100,-1,2
train2101,0,4
train2102,-1,2
train2103,1,1
train2104,0,3
train2105,0,4
train2106,-1,2
train2107,0,4
train2108,0,4
train2109,-1,2
train2110,-1,2
train2111,-1,2
train2112,0,3
train2113,0,3
train2114,-1,2
train2115,0,4
train2116,0,3
train2117,0,3
train2118,0,3
train2119,0,4
train2120,1,1
train2121,0,4
train2122,-1,2
train2123,0,4
train2124,0,4
train2125,0,4
train2126,1,1
train2127,0,4
train2128,0,3
train2129,1,1
train2130,0,3
train2131,0,3
train2132,1,1
train2133,0,3
train2134,0,3
train2135,-1,2
train2136,0,3
train2137,0,4
train2138,-1,2
train2139,1,1
train2140,0,4
train2141,1,1
train2142,-1,2
train2143,0,4
train2144,0,4
train2145,1,1
train2146,0,4
train2147,0,3
train2148,-1,2
train2149,1,1
train2150,1,1
train2151,-1,2
train2152,0,3
train2153,-1,2
train2154,1,1
train2155,0,3
train2156,-1,2
train2157,1,1
train2158,0,4
train2159,0,4
train2160,0,3
train2161,-1,2
train2162,-1,2
train2163,0,4
train2164,-1,2
train2165,-1,2
train2166,-1,2
train2167,1,1
train2168,1,1
train2169,-1,2
train2170,0,3
train2171,0,4
train2172,1,1
train2173,-1,2
train2174,1,1
train2175,0,4
train2176,1,1
train2177,-1,2
train2178,1,1
train2179,1,1
train2180,0,3
train2181,1,1
train2182,0,3
train2183,0,3
train2184,0,3
train2185,1,1
train2186,-1,2
train2187,-1,2
train2188,1,1
train2189,0,3
train2190,1,1
train2191,1,1
train2192,0,3
train2193,1,1
train2194,1,1
train2195,1,1
train2196,-1,2
train2197,-1,2
train2198,-1,2
train2199,1,1
train2200,0,4
train2201,0,3
train2202,0,4
train2203,-1,2
train2204,0,4
train2205,1,1
train2206,0,3
train2207,-1,2
train2208,0,4
train2209,0,3
train2210,1,1
train2211,0,4
train2212,0,3
train2213,0,3
train2214,0,4
train2215,1,1
train2216,-1,2
train2217,0,4
train2218,1,1
train2219,-1,2
train2220,0,4
train2221,-1,2
train2222,0,3
train2223,-1,2
train2224,0,4
train2225,1,1
train2226,0,3
train2227,1,1
train2228,1,1
train2229,-1,2
train2230,-1,2
train2231,0,4
train2232,0,3
train2233,0,4
train2234,0,4
train2235,0,4
train2236,1,1
train2237,-1,2
train2238,1,1
train2239,1,1
train2240,1,1
train2241,-1,2
train2242,0,3
train2243,0,3
train2244,0,4
train2245,-1,2
train2246,0,3
train2247,0,4
train2248,-1,2
train2249,-1,2
train2250,1,1
train2251,0,4
train2252,-1,2
train2253,1,1
train2254,0,3
train2255,1,1
train2256,0,3
train2257,0,4
train2258,-1,2
train2259,0,3
train2260,0,4
train2261,1,1
train2262,0,4
train2263,0,4
train2264,0,3
train2265,1,1
train2266,0,3
train2267,1,1
train2268,0,3
train2269,1,1
train2270,0,4
train2271,-1,2
train2272,1,1
train2273,1,1
train2274,-1,2
train2275,-1,2
train2276,1,1
train2277,-1,2
train2278,0,4
train2279,-1,2
train2280,1,1
train2281,-1,2
train2282,-1,2
train2283,-1,2
train2284,0,4
train2285,1,1
train2286,0,4
train2287,0,4
train2288,-1,2
train2289,0,4
train2290,0,4
train2291,-1,2
train2292,0,4
train2293,1,1
train2294,0,4
train2295,0,4
train2296,1,1
train2297,0,4
train2298,-1,2
train2299,0,4
train2300,0,3
train2301,-1,2
train2302,0,4
train2303,-1,2
train2304,-1,2
train2305,0,3
train2306,0,4
train2307,1,1
train2308,1,1
train2309,-1,2
train2310,1,1
train2311,0,3
train2312,0,3
train2313,0,3
train2314,1,1
train2315,-1,2
train2316,0,4
train2317,0,4
train2318,-1,2
train2319,0,3
train2320,0,3
train2321,1,1
train2322,-1,2
train2323,0,4
train2324,0,3
train2325,-1,2
train2326,0,3
train2327,0,3
train2328,1,1
train2329,0,4
train2330,0,3
train2331,0,4
train2332,-1,2
train2333,0,4
train2334,-1,2
train2335,0,3
train2336,1,1
train2337,0,3
train2338,0,4
train2339,1,1
train2340,1,1
train2341,-1,2
train2342,1,1
train2343,0,3
train2344,0,3
train2345,0,3
train2346,0,3
train2347,0,3
train2348,0,3
train2349,0,3
train2350,0,3
train2351,1,1
train2352,1,1
train2353,-1,2
train2354,0,3
train2355,0,4
train2356,0,4
train2357,0,3
train2358,-1,2
train2359,0,4
train2360,1,1
train2361,0,3
train2362,1,1
train2363,0,4
train2364,0,4
train2365,0,3
train2366,0,3
train2367,0,4
train2368,-1,2
train2369,1,1
train2370,0,3
train2371,0,4
train2372,1,1
train2373,0,3
train2374,0,4
train2375,0,4
train2376,0,3
train2377,0,4
train2378,1,1
train2379,0,4
train2380,1,1
train2381,0,3
train2382,0,4
train2383,1,1
train2384,0,3
train2385,0,3
train2386,-1,2
train2387,-1,2
train2388,1,1
train2389,0,3
train2390,0,4
train2391,-1,2
train2392,0,4
train2393,0,4
train2394,1,1
train2395,0,4
train2396,0,4
train2397,0,3
train2398,-1,2
train2399,0,4
train2400,-1,2
train2401,0,3
train2402,1,1
train2403,0,3
train2404,-1,2
train2405,1,1
train2406,-1,2
train2407,1,1
train2408,0,4
train2409,0,4
train2410,1,1
train2411,1,1
train2412,-1,2
train2413,0,3
train2414,1,1
train2415,-1,2
train2416,-1,2
train2417,0,3
train2418,0,4
train2419,0,3
train2420,0,3
train2421,1,1
train2422,1,1
train2423,1,1
train2424,0,4
train2425,1,1
train2426,-1,2
train2427,1,1
train2428,1,1
train2429,0,3
train2430,0,3
train2431,0,4
train2432,-1,2
train2433,0,4
train2434,-1,2
train2435,0,3
train2436,1,1
train2437,0,3
train2438,-1,2
train2439,-1,2
train2440,0,4
train2441,0,3
train2442,1,1
train2443,0,4
train2444,0,3
train2445,-1,2
train2446,0,4
train2447,-1,2
train2448,1,1
train2449,0,3
train2450,1,1
train2451,0,3
train2452,-1,2
train2453,0,4
train2454,1,1
train2455,0,3
train2456,0,4
train2457,1,1
train2458,0,4
train2459,-1,2
train2460,0,3
train2461,1,1
train2462,1,1
train2463,-1,2
train2464,1,1
train2465,0,3
train2466,0,3
train2467,-1,2
train2468,-1,2
train2469,0,4
train2470,0,4
train2471,1,1
train2472,0,3
train2473,0,3
train2474,1,1
train2475,1,1
train2476,-1,2
train2477,0,4
train2478,1,1
train2479,0,3
train2480,-1,2
train2481,0,4
train2482,0,4
train2483,0,3
train2484,-1,2
train2485,0,4
train2486,0,3
train2487,0,3
train2488,0,4
train2489,-1,2
train2490,0,3
train2491,1,1
train2492,1,1
train2493,0,3
train2494,1,1
train2495,1,1
train2496,1,1
train2497,-1,2
train2498,-1,2
train2499,0,3
train2500,-1,2
train2501,0,3
train2502,-1,2
train2503,0,3
train2504,1,1
train2505,0,3
train2506,1,1
train2507,0,3
train2508,0,3
train2509,-1,2
train2510,-1,2
train2511,-1,2
train2512,1,1
train2513,-1,2
train2514,0,4
train2515,-1,2
train2516,0,3
train2517,1,1
train2518,0,3
train2519,-1,2
train2520,0,3
train2521,1,1
train2522,-1,2
train2523,1,1
train2524,0,4
train2525,0,3
train2526,0,4
train2527,1,1
train2528,0,4
train2529,1,1
train2530,0,3
train2531,0,4
train2532,0,4
train2533,-1,2
train2534,-1,2
train2535,-1,2
train2536,1,1
train2537,-1,2
train2538,1,1
train2539,1,1
train2540,0,4
train2541,-1,2
train2542,0,4
train2543,-1,2
train2544,-1,2
train2545,0,4
train2546,0,3
train2547,-1,2
train2548,0,4
train2549,0,4
train2550,-1,2
train2551,0,4
train2552,0,3
train2553,0,4
train2554,-1,2
train2555,0,4
train2556,0,3
train2557,-1,2
train2558,-1,2
train2559,0,4
train2560,0,3
train2561,0,3
train2562,1,1
train2563,-1,2
train2564,0,3
train2565,1,1
train2566,0,3
train2567,0,4
train2568,0,4
train2569,0,4
train2570,1,1
train2571,0,3
train2572,-1,2
train2573,0,3
train2574,0,4
train2575,1,1
train2576,-1,2
train2577,0,3
train2578,0,3
train2579,0,3
train2580,0,3
train2581,1,1
train2582,0,4
train2583,0,3
train2584,1,1
train2585,0,3
train2586,0,4
train2587,-1,2
train2588,1,1
train2589,-1,2
train2590,1,1
train2591,1,1
train2592,1,1
train2593,0,3
train2594,-1,2
train2595,0,4
train2596,-1,2
train2597,0,4
train2598,1,1
train2599,0,3
train2600,1,1
train2601,0,3
train2602,0,4
train2603,0,4
train2604,-1,2
train2605,0,4
train2606,0,3
train2607,1,1
train2608,-1,2
train2609,0,3
train2610,0,4
train2611,0,4
train2612,0,4
train2613,0,4
train2614,1,1
train2615,1,1
train2616,-1,2
train2617,1,1
train2618,0,3
train2619,0,3
train2620,0,3
train2621,0,3
train2622,0,4
train2623,0,4
train2624,0,4
train2625,1,1
train2626,1,1
train2627,1,1
train2628,0,3
train2629,0,4
train2630,0,3
train2631,0,4
train2632,1,1
train2633,0,4
train2634,0,3
train2635,0,4
train2636,-1,2
train2637,0,3
train2638,0,3
train2639,-1,2
train2640,0,4
train2641,-1,2
train2642,-1,2
train2643,1,1
train2644,0,4
train2645,0,3
train2646,1,1
train2647,0,4
train2648,-1,2
train2649,0,4
train2650,-1,2
train2651,0,3
train2652,0,3
train2653,0,4
train2654,0,4
train2655,1,1
train2656,-1,2
train2657,0,3
train2658,0,3
train2659,1,1
train2660,0,3
train2661,1,1
train2662,0,4
train2663,0,4
train2664,0,3
train2665,0,4
train2666,0,3
train2667,-1,2
train2668,0,3
train2669,-1,2
train2670,1,1
train2671,1,1
train2672,0,3
train2673,1,1
train2674,-1,2
train2675,-1,2
train2676,-1,2
train2677,-1,2
train2678,1,1
train2679,1,1
train2680,0,3
train2681,0,4
train2682,0,4
train2683,0,3
train2684,1,1
train2685,0,4
train2686,-1,2
train2687,-1,2
train2688,0,3
train2689,1,1
train2690,1,1
train2691,1,1
train2692,0,4
train2693,0,4
train2694,1,1
train2695,0,4
train2696,1,1
train2697,1,1
train2698,0,3
train2699,0,4
train2700,0,3
train2701,0,3
train2702,0,3
train2703,-1,2
train2704,1,1
train2705,1,1
train2706,-1,2
train2707,0,4
train2708,0,4
train2709,0,4
train2710,-1,2
train2711,1,1
train2712,1,1
train2713,-1,2
train2714,0,3
train2715,0,4
train2716,0,3
train2717,0,4
train2718,0,4
train2719,1,1
train2720,0,4
train2721,1,1
train2722,0,3
train2723,-1,2
train2724,-1,2
train2725,0,3
train2726,-1,2
train2727,0,4
train2728,0,3
train2729,0,3
train2730,0,4
train2731,-1,2
train2732,1,1
train2733,0,3
train2734,-1,2
train2735,1,1
train2736,-1,2
train2737,0,3
train2738,-1,2
train2739,-1,2
train2740,0,3
train2741,0,4
train2742,-1,2
train2743,1,1
train2744,0,4
train2745,0,4
train2746,0,3
train2747,0,3
train2748,0,3
train2749,-1,2
train2750,0,4
train2751,0,4
train2752,-1,2
train2753,1,1
train2754,-1,2
train2755,0,3
train2756,1,1
train2757,-1,2
train2758,0,3
train2759,0,3
train2760,0,3
train2761,-1,2
train2762,1,1
train2763,1,1
train2764,0,4
train2765,0,3
train2766,0,4
train2767,1,1
train2768,0,4
train2769,0,3
train2770,0,3
train2771,0,3
train2772,1,1
train2773,0,3
train2774,-1,2
train2775,0,3
train2776,0,3
train2777,0,3
train2778,1,1
train2779,0,4
train2780,-1,2
train2781,0,3
train2782,-1,2
train2783,-1,2
train2784,0,3
train2785,0,3
train2786,1,1
train2787,-1,2
train2788,0,3
train2789,1,1
train2790,1,1
train2791,0,4
train2792,-1,2
train2793,1,1
train2794,0,4
train2795,-1,2
train2796,1,1
train2797,1,1
train2798,-1,2
train2799,0,3
train2800,0,3
train2801,0,3
train2802,0,3
train2803,0,3
train2804,-1,2
train2805,0,3
train2806,0,3
train2807,0,3
train2808,1,1
train2809,-1,2
train2810,-1,2
train2811,0,4
train2812,0,3
train2813,-1,2
train2814,1,1
train2815,-1,2
train2816,0,3
train2817,-1,2
train2818,0,3
train2819,1,1
train2820,0,3
train2821,1,1
train2822,-1,2
train2823,-1,2
train2824,1,1
train2825,-1,2
train2826,0,3
train2827,-1,2
train2828,0,4
train2829,1,1
train2830,0,4
train2831,0,3
train2832,0,4
train2833,0,3
train2834,0,4
train2835,1,1
train2836,0,3
train2837,0,4
train2838,-1,2
train2839,0,4
train2840,1,1
train2841,0,4
train2842,-1,2
train2843,1,1
train2844,0,4
train2845,1,1
train2846,0,4
train2847,-1,2
train2848,-1,2
train2849,1,1
train2850,0,4
train2851,0,4
train2852,1,1
train2853,-1,2
train2854,0,4
train2855,0,4
train2856,1,1
train2857,-1,2
train2858,0,3
train2859,0,4
train2860,1,1
train2861,0,4
train2862,1,1
train2863,-1,2
train2864,1,1
train2865,-1,2
train2866,1,1
train2867,0,3
train2868,-1,2
train2869,1,1
train2870,1,1
train2871,-1,2
train2872,-1,2
train2873,1,1
train2874,1,1
train2875,0,3
train2876,1,1
train2877,-1,2
train2878,-1,2
train2879,0,3
train2880,-1,2
train2881,-1,2
train2882,-1,2
train2883,0,4
train2884,1,1
train2885,1,1
train2886,-1,2
train2887,0,4
train2888,1,1
train2889,-1,2
train2890,1,1
train2891,0,4
train2892,-1,2
train2893,-1,2
train2894,0,3
train2895,0,3
train2896,-1,2
train2897,-1,2
train2898,0,3
train2899,0,4
train2900,1,1
train2901,0,3
train2902,-1,2
train2903,0,3
train2904,1,1
train2905,1,1
train2906,-1,2
train2907,-1,2
train2908,0,3
train2909,0,4
train2910,-1,2
train2911,0,3
train2912,-1,2
train2913,-1,2
train2914,1,1
train2915,1,1
train2916,0,3
train2917,1,1
train2918,0,4
train2919,-1,2
train2920,1,1
train2921,1,1
train2922,1,1
train2923,1,1
train2924,0,3
train2925,-1,2
train2926,0,4
train2927,1,1
train2928,0,3
train2929,0,4
train2930,1,1
train2931,0,3
train2932,-1,2
train2933,0,3
train2934,1,1
train2935,-1,2
train2936,1,1
train2937,1,1
train2938,-1,2
train2939,0,3
train2940,-1,2
train2941,1,1
train2942,0,4
train2943,0,4
train2944,1,1
train2945,-1,2
train2946,0,4
train2947,0,3
train2948,0,4
train2949,0,4
train2950,-1,2
train2951,1,1
train2952,1,1
train2953,1,1
train2954,0,3
train2955,1,1
train2956,0,3
train2957,0,3
train2958,0,3
train2959,-1,2
train2960,0,4
train2961,1,1
train2962,0,3
train2963,1,1
train2964,0,4
train2965,1,1
train2966,1,1
train2967,-1,2
train2968,0,4
train2969,0,4
train2970,-1,2
train2971,0,3
train2972,-1,2
train2973,1,1
train2974,0,4
train2975,0,3
train2976,0,4
train2977,1,1
train2978,0,4
train2979,0,4
train2980,0,3
train2981,0,4
train2982,1,1
train2983,0,3
train2984,0,4
train2985,-1,2
train2986,0,3
train2987,1,1
train2988,1,1
train2989,0,4
train2990,1,1
train2991,0,4
train2992,-1,2
train2993,1,1
train2994,0,4
train2995,-1,2
train2996,1,1
train2997,1,1
train2998,-1,2
train2999,1,1
train3000,-1,2
train3001,-1,2
train3002,0,4
train3003,1,1
train3004,-1,2
train3005,0,3
train3006,1,1
train3007,0,3
train3008,0,4
train3009,-1,2
train3010,1,1
train3011,0,3
train3012,-1,2
train3013,0,4
train3014,0,4
train3015,-1,2
train3016,-1,2
train3017,0,4
train3018,-1,2
train3019,-1,2
train3020,0,4
train3021,0,4
train3022,0,3
train3023,1,1
train3024,0,3
train3025,1,1
train3026,0,4
train3027,0,4
train3028,1,1
train3029,0,4
train3030,-1,2
train3031,1,1
train3032,-1,2
train3033,1,1
train3034,1,1
train3035,0,4
train3036,1,1
train3037,0,4
train3038,-1,2
train3039,0,4
train3040,-1,2
train3041,1,1
train3042,1,1
train3043,1,1
train3044,0,3
train3045,-1,2
train3046,1,1
train3047,0,3
train3048,1,1
train3049,0,3
train3050,1,1
train3051,-1,2
train3052,-1,2
train3053,1,1
train3054,1,1
train3055,0,3
train3056,-1,2
train3057,-1,2
train3058,-1,2
train3059,-1,2
train3060,0,3
train3061,0,4
train3062,1,1
train3063,0,3
train3064,0,4
train3065,1,1
train3066,0,3
train3067,-1,2
train3068,0,4
train3069,0,3
train3070,0,3
train3071,1,1
train3072,0,3
train3073,1,1
train3074,-1,2
train3075,1,1
train3076,0,4
train3077,1,1
train3078,1,1
train3079,0,4
train3080,0,3
train3081,0,4
train3082,0,3
train3083,-1,2
train3084,-1,2
train3085,-1,2
train3086,0,3
train3087,0,4
train3088,0,3
train3089,-1,2
train3090,0,3
train3091,0,3
train3092,0,4
train3093,0,4
train3094,0,4
train3095,1,1
train3096,1,1
train3097,0,3
train3098,0,4
train3099,1,1
train3100,0,4
train3101,1,1
train3102,1,1
train3103,-1,2
train3104,0,4
train3105,0,3
train3106,1,1
train3107,-1,2
train3108,0,4
train3109,-1,2
train3110,0,4
train3111,0,3
train3112,1,1
train3113,0,3
train3114,0,4
train3115,-1,2
train3116,-1,2
train3117,-1,2
train3118,0,4
train3119,1,1
train3120,0,3
train3121,-1,2
train3122,-1,2
train3123,-1,2
train3124,-1,2
train3125,1,1
train3126,0,3
train3127,0,3
train3128,1,1
train3129,1,1
train3130,0,4
train3131,1,1
train3132,0,3
train3133,0,4
train3134,0,4
train3135,1,1
train3136,1,1
train3137,0,3
train3138,1,1
train3139,0,4
train3140,1,1
train3141,1,1
train3142,1,1
train3143,1,1
train3144,0,4
train3145,0,4
train3146,-1,2
train3147,1,1
train3148,-1,2
train3149,0,4
train3150,-1,2
train3151,0,4
train3152,-1,2
train3153,0,3
train3154,0,3
train3155,0,4
train3156,0,3
train3157,-1,2
train3158,-1,2
train3159,-1,2
train3160,-1,2
train3161,-1,2
train3162,0,4
train3163,0,4
train3164,0,3
train3165,0,4
train3166,0,4
train3167,1,1
train3168,-1,2
train3169,0,4
train3170,0,4
train3171,0,4
train3172,0,3
train3173,0,4
train3174,0,3
train3175,0,4
train3176,0,4
train3177,1,1
train3178,1,1
train3179,-1,2
train3180,-1,2
train3181,0,4
train3182,0,4
train3183,0,4
train3184,0,3
train3185,0,4
train3186,0,4
train3187,0,3
train3188,-1,2
train3189,0,3
train3190,1,1
train3191,-1,2
train3192,0,4
train3193,1,1
train3194,-1,2
train3195,-1,2
train3196,-1,2
train3197,0,3
train3198,1,1
train3199,1,1
train3200,1,1
train3201,0,3
train3202,-1,2
train3203,0,3
train3204,0,3
train3205,1,1
train3206,1,1
train3207,-1,2
train3208,-1,2
train3209,0,3
train3210,0,3
train3211,-1,2
train3212,0,4
train3213,0,3
train3214,0,4
train3215,0,3
train3216,-1,2
train3217,-1,2
train3218,0,4
train3219,0,3
train3220,0,4
train3221,0,4
train3222,0,3
train3223,-1,2
train3224,0,4
train3225,1,1
train3226,0,3
train3227,1,1
train3228,1,1
train3229,-1,2
train3230,0,3
train3231,0,4
train3232,1,1
train3233,-1,2
train3234,0,4
train3235,1,1
train3236,1,1
train3237,0,4
train3238,0,4
train3239,-1,2
train3240,0,4
train3241,0,3
train3242,0,3
train3243,1,1
train3244,1,1
train3245,1,1
train3246,1,1
train3247,-1,2
train3248,0,3
train3249,-1,2
train3250,-1,2
train3251,0,3
train3252,0,4
train3253,0,4
train3254,1,1
train3255,-1,2
train3256,0,4
train3257,0,3
train3258,0,3
train3259,1,1
train3260,0,3
train3261,0,4
train3262,1,1
train3263,0,4
train3264,-1,2
train3265,1,1
train3266,0,4
train3267,0,3
train3268,0,4
train3269,-1,2
train3270,-1,2
train3271,0,4
train3272,-1,2
train3273,0,3
train3274,-1,2
train3275,-1,2
train3276,-1,2
train3277,-1,2
train3278,0,3
train3279,-1,2
train3280,-1,2
train3281,-1,2
train3282,1,1
train3283,0,3
train3284,-1,2
train3285,0,4
train3286,-1,2
train3287,0,3
train3288,0,3
train3289,0,3
train3290,1,1
train3291,0,4
train3292,0,3
train3293,0,4
train3294,1,1
train3295,0,3
train3296,0,4
train3297,-1,2
train3298,0,4
train3299,1,1
train3300,0,4
train3301,-1,2
train3302,0,4
train3303,-1,2
train3304,0,3
train3305,0,3
train3306,-1,2
train3307,0,3
train3308,-1,2
train3309,-1,2
train3310,-1,2
train3311,0,4
train3312,0,4
train3313,0,4
train3314,1,1
train3315,-1,2
train3316,0,3
train3317,-1,2
train3318,0,4
train3319,0,4
train3320,1,1
train3321,1,1
train3322,0,3
train3323,0,4
train3324,-1,2
train3325,0,3
train3326,-1,2
train3327,0,3
train3328,0,3
train3329,0,3
train3330,-1,2
train3331,0,3
train3332,-1,2
train3333,1,1
train3334,0,4
train3335,-1,2
train3336,1,1
train3337,0,4
train3338,-1,2
train3339,0,3
train3340,-1,2
train3341,0,4
train3342,1,1
train3343,0,3
train3344,-1,2
train3345,-1,2
train3346,0,3
train3347,0,3
train3348,0,4
train3349,0,4
train3350,0,4
train3351,-1,2
train3352,1,1
train3353,-1,2
train3354,-1,2
train3355,0,4
train3356,-1,2
train3357,0,4
train3358,1,1
train3359,0,4
train3360,0,4
train3361,-1,2
train3362,0,4
train3363,0,4
train3364,0,4
train3365,0,4
train3366,-1,2
train3367,0,4
train3368,1,1
train3369,-1,2
train3370,0,4
train3371,0,3
train3372,0,4
train3373,-1,2
train3374,0,3
train3375,0,3
train3376,0,4
train3377,-1,2
train3378,1,1
train3379,0,3
train3380,0,4
train3381,0,4
train3382,0,4
train3383,0,4
train3384,1,1
train3385,1,1
train3386,-1,2
train3387,1,1
train3388,1,1
train3389,-1,2
train3390,-1,2
train3391,0,3
train3392,0,3
train3393,1,1
train3394,0,3
train3395,0,3
train3396,0,3
train3397,0,3
train3398,1,1
train3399,1,1
train3400,0,4
train3401,0,4
train3402,-1,2
train3403,0,4
train3404,0,3
train3405,0,4
train3406,0,3
train3407,-1,2
train3408,0,3
train3409,1,1
train3410,0,3
train3411,0,4
train3412,0,3
train3413,-1,2
train3414,0,4
train3415,-1,2
train3416,-1,2
train3417,-1,2
train3418,1,1
train3419,1,1
train3420,0,4
train3421,0,4
train3422,1,1
train3423,-1,2
train3424,0,3
train3425,-1,2
train3426,0,3
train3427,0,4
train3428,1,1
train3429,0,4
train3430,1,1
train3431,0,4
train3432,-1,2
train3433,-1,2
train3434,0,3
train3435,-1,2
train3436,0,4
train3437,1,1
train3438,0,3
train3439,-1,2
train3440,-1,2
train3441,1,1
train3442,-1,2
train3443,0,4
train3444,0,3
train3445,-1,2
train3446,0,4
train3447,-1,2
train3448,-1,2
train3449,0,4
train3450,1,1
train3451,-1,2
train3452,0,4
train3453,0,3
train3454,0,4
train3455,1,1
train3456,0,4
train3457,0,3
train3458,0,4
train3459,0,3
train3460,0,4
train3461,0,4
train3462,0,4
train3463,-1,2
train3464,-1,2
train3465,1,1
train3466,0,4
train3467,1,1
train3468,1,1
train3469,-1,2
train3470,0,3
train3471,0,3
train3472,0,3
train3473,-1,2
train3474,0,3
train3475,0,4
train3476,0,3
train3477,-1,2
train3478,-1,2
train3479,-1,2
train3480,1,1
train3481,0,4
train3482,0,4
train3483,1,1
train3484,0,4
train3485,0,3
train3486,1,1
train3487,-1,2
train3488,1,1
train3489,0,3
train3490,0,4
train3491,0,3
train3492,0,4
train3493,1,1
train3494,-1,2
